Subject,Trial,Gain,Loss,GainOnLeft,Fontsize,Choice,RT,AcceptKey,EV
4,67,9,9,1,0,0,1.15828430000693,2,0
4,68,3,7,1,1,0,1.28505619999487,2,-2
4,69,7,3,1,1,1,0.862963399966247,2,2
4,70,4,8,0,1,0,1.88845399999991,2,-2
4,71,8,4,1,0,1,1.50941870000679,2,2
4,72,7,6,1,0,0,0.804939900059253,2,0.5
4,73,8,5,1,0,1,2.26034309994429,2,1.5
4,74,7,4,1,1,1,1.78334389999509,2,1.5
4,75,4,5,1,0,0,0.901331400033087,2,-0.5
4,76,7,7,0,0,0,0.885096600046381,2,0
4,77,7,5,1,1,0,0.78713189996779,2,1
4,78,8,8,1,1,0,0.765022800071165,2,0
4,79,5,5,1,1,0,0.840357500012033,2,0
4,80,6,6,1,1,0,1.42672859993763,2,0
4,81,7,8,1,1,0,1.43498590006493,2,-0.5
4,82,5,8,1,1,0,1.10854390007444,2,-1.5
4,83,5,6,0,0,0,1.0569819000084,2,-0.5
4,84,6,6,1,0,0,0.79560329997912,2,0
4,85,8,9,1,0,0,1.18074690003414,2,-0.5
4,86,5,8,1,0,0,0.972517299931496,2,-1.5
4,87,8,4,1,1,1,1.13984860002529,2,2
4,88,9,3,0,0,1,1.16043950000312,2,3
4,89,6,4,1,1,0,2.0440192000242,2,1
4,90,5,4,0,0,0,1.0218884999631,2,0.5
4,91,6,3,1,0,1,0.94581239996478,2,1.5
4,92,4,3,1,1,0,1.46829559991602,2,0.5
4,93,7,7,0,1,0,0.830220000003465,2,0
4,94,7,3,1,0,1,0.997737300000153,2,2
4,95,8,5,1,1,1,1.03997200005688,2,1.5
4,96,4,6,0,1,0,0.854193400009535,2,-1
4,97,7,4,1,0,1,1.12386199994944,2,1.5
4,98,8,7,1,1,0,1.0576048999792,2,0.5
5,1,6,7,1,0,0,2.8138058000477,1,-0.5
5,2,7,6,1,0,0,1.58686310006306,1,0.5
5,3,6,3,1,0,1,1.45447789994068,1,1.5
5,4,5,7,1,0,0,1.65672860003542,1,-1
5,5,3,8,0,1,0,1.56134749995545,1,-2.5
5,6,3,5,0,1,0,1.3219610999804,1,-1
5,7,9,4,0,0,1,1.55521339992993,1,2.5
5,8,4,5,1,0,0,1.19831929996144,1,-0.5
5,9,5,5,1,0,0,1.71218100003898,1,0
5,10,7,4,0,0,1,1.29943599994294,1,1.5
5,11,4,8,0,0,0,1.43228350009304,1,-2
5,12,3,7,0,0,0,1.50896300002933,1,-2
5,13,6,4,1,0,1,1.59096699999645,1,1
5,14,7,9,1,1,0,1.20884759991895,1,-1
5,15,7,7,0,0,0,1.25004700000864,1,0
5,16,6,8,0,0,0,1.20339100004639,1,-1
5,17,3,9,0,0,0,0.938544000033289,1,-3
5,18,8,8,1,0,0,1.04339129989967,1,0
5,19,8,6,1,0,0,2.39542509999592,1,1
5,20,9,6,1,1,1,1.8279835000867,1,1.5
5,21,8,7,1,0,0,2.10314979997929,1,0.5
5,22,6,7,1,1,0,1.88799039996229,1,-0.5
5,23,9,8,1,1,0,1.81086960004177,1,0.5
5,24,3,4,1,1,0,1.45043520000763,1,-0.5
5,25,3,9,0,1,0,1.62167309992947,1,-3
5,26,8,5,0,0,1,1.11946720001288,1,1.5
5,27,9,9,1,1,0,1.09358900005464,1,0
5,28,6,4,1,1,1,0.977906499989331,1,1
5,29,5,3,0,0,1,1.74658589996397,1,1
5,30,9,4,0,1,1,1.34228310000617,1,2.5
5,31,4,4,0,0,0,0.86325139994733,1,0
5,32,6,3,1,1,1,0.827163100009784,1,1.5
5,33,3,6,0,0,0,1.23765519994777,1,-1.5
5,34,9,7,1,1,1,1.63560259994119,1,1
5,35,8,4,1,1,1,0.817023399984464,1,2
5,36,8,6,1,1,0,2.04385179991368,1,1
5,37,5,6,1,1,0,2.2979464000091,1,-0.5
5,38,4,4,0,1,0,0.861231400049292,1,0
5,39,8,3,1,1,1,0.849991599912755,1,2.5
5,40,5,9,1,1,0,1.26392709999345,1,-2
5,41,9,5,1,0,1,1.2962049000198,1,2
5,42,4,7,1,1,0,1.50106090004556,1,-1.5
5,43,4,6,0,1,0,1.68756420002319,1,-1
5,44,3,5,0,0,0,1.79696409997996,1,-1
5,45,5,9,1,0,0,1.3273275999818,1,-2
5,46,4,6,0,0,0,1.47602960001677,1,-1
5,47,7,5,0,1,1,1.01106379996054,1,1
5,48,8,4,1,0,1,1.17028129997198,1,2
5,49,9,5,1,1,1,0.981255799997598,1,2
5,50,7,6,1,1,1,1.20667179999873,1,0.5
5,51,3,8,0,0,0,0.96949449996464,1,-2.5
5,52,7,3,1,1,1,0.866610200027935,1,2
5,53,3,4,1,0,0,1.11697309999727,1,-0.5
5,54,7,4,0,1,1,0.910426100017503,1,1.5
5,55,9,3,0,1,1,1.58358639990911,1,3
5,56,6,6,1,1,0,0.919598800013773,1,0
5,57,3,7,0,1,0,1.46595740003977,1,-2
5,58,4,8,0,1,0,1.19078179995995,1,-2
5,59,6,9,0,1,0,0.984488400048576,1,-1.5
5,60,5,6,1,0,0,0.97624500002712,1,-0.5
5,61,5,8,1,1,0,1.60984529997222,1,-1.5
5,62,8,8,1,1,0,1.06987160001881,1,0
5,63,3,6,0,1,0,1.30197289993521,1,-1.5
5,64,7,3,1,0,1,1.11052039999049,1,2
5,65,6,5,0,0,1,2.14713449997362,1,0.5
5,66,9,8,1,0,0,2.14781100000255,1,0.5
5,67,5,7,1,1,0,1.34326689993031,1,-1
5,68,9,9,1,0,0,0.935050999978557,1,0
5,69,4,7,1,0,0,2.19074950006325,1,-1.5
5,70,9,7,1,0,1,2.09703419997822,1,1
5,71,8,3,1,0,1,1.07743609999306,1,2.5
5,72,3,3,0,0,0,0.942039999994449,1,0
5,73,4,9,1,0,0,0.936866799951531,1,-2.5
5,74,4,9,1,1,0,1.11411490000319,1,-2.5
5,75,3,3,0,1,0,1.4589589999523,1,0
5,76,7,7,0,1,0,1.22833090007771,1,0
5,77,5,8,1,0,0,1.26915410009678,1,-1.5
5,78,8,9,0,1,0,1.63782549998723,1,-0.5
5,79,7,8,1,1,0,2.58011640002951,1,-0.5
5,80,5,4,1,1,1,2.56421690003481,1,0.5
5,81,9,3,0,0,1,1.23604569991585,1,3
5,82,4,5,1,1,0,1.98226969991811,1,-0.5
5,83,7,9,1,0,0,1.29020720010158,1,-1
5,84,8,9,0,0,0,2.21271500003058,1,-0.5
5,85,7,5,0,0,1,1.24043779994827,1,1
5,86,9,6,1,0,1,1.82635640003718,1,1.5
5,87,6,5,0,1,0,1.46033289993647,1,0.5
5,88,5,3,0,1,0,2.84161230002064,1,1
5,89,6,6,1,0,0,0.839480400085449,1,0
5,90,6,8,0,1,0,1.19630379998125,1,-1
5,91,5,4,1,0,1,2.200130000012,1,0.5
5,92,7,8,1,0,0,0.948518799967133,1,-0.5
5,93,4,3,0,0,0,1.14021520002279,1,0.5
5,94,8,5,0,1,1,1.39987490000203,1,1.5
5,95,8,7,1,1,0,1.03483060002327,1,0.5
5,96,6,9,0,0,0,0.996090900036506,1,-1.5
5,97,4,3,0,1,0,1.6373234000057,1,0.5
5,98,5,5,1,1,0,0.860528299934231,1,0
6,1,7,4,1,0,1,1.55575470009353,1,1.5
6,2,5,3,1,0,0,1.61337819998153,1,1
6,3,7,8,1,0,0,1.33050689997617,1,-0.5
6,4,4,5,1,1,0,1.63145019998774,1,-0.5
6,5,9,4,1,0,1,1.73739279992878,1,2.5
6,6,5,5,0,0,1,1.72973949997686,1,0
6,7,4,8,0,1,0,2.17054179997649,1,-2
6,8,5,9,1,0,0,0.913184000062756,1,-2
6,9,9,8,1,0,0,0.866420199978165,1,0.5
6,10,3,8,0,0,0,0.812812000047415,1,-2.5
